Date,Open,High,Low,Close,Volume,Market Cap
"Jan 03, 2016",433.58,433.74,424.71,430.01,39633800,6519500000
"Jan 02, 2016",434.62,436.06,431.87,433.44,30096600,6533630000
"Jan 01, 2016",430.72,436.25,427.51,434.33,36278900,6473530000
"Dec 31, 2015",425.88,432.92,418.74,430.57,45996600,6399190000
"Dec 30, 2015",433.3,434.39,422.08,426.62,46889400,6508960000
"Dec 29, 2015",422.1,432.98,420.63,432.98,51596500,6339010000
"Dec 28, 2015",423.34,429.77,418.48,422.28,49638600,6356100000
"Dec 27, 2015",416.51,424.01,408.88,422.82,53591200,6251440000
"Dec 26, 2015",455.76,457.49,405.76,417.27,116166000,6838480000
"Dec 25, 2015",454.86,458.31,452.07,455.65,39078500,6823120000
"Dec 24, 2015",443.09,458.46,443.08,454.99,57157200,6645120000
"Dec 23, 2015",436.72,444.53,436.62,442.4,47161400,6547850000
"Dec 22, 2015",437.44,443.69,435.52,436.57,50840400,6556960000
"Dec 21, 2015",442.84,444.73,427.31,438.64,77639700,6636280000
"Dec 20, 2015",462.23,462.64,434.34,442.69,75409400,6925030000
"Dec 19, 2015",463.55,465.58,456.76,462.32,47892700,6942950000
"Dec 18, 2015",455.85,465.18,454.94,463.62,60220100,6825640000
"Dec 17, 2015",454.78,457.86,448.86,456.08,47978400,6807850000
"Dec 16, 2015",465.21,465.21,443.85,454.93,107944000,6962090000
"Dec 15, 2015",443.88,465.32,443.88,465.32,83121100,6640850000
"Dec 14, 2015",433.27,447.14,430.46,444.18,130496000,6480070000
"Dec 13, 2015",431.66,441.68,426.27,433.75,55050600,6454430000
"Dec 12, 2015",452.33,469.1,410.74,435,131969000,6761730000
"Dec 11, 2015",415.28,451.94,415.28,451.94,110944000,6206150000
"Dec 10, 2015",417.99,419.51,411.55,415.48,52138900,6244360000
"Dec 09, 2015",414.44,423.12,406.29,417.56,90917200,6189620000
"Dec 08, 2015",395.75,415.56,389.95,415.56,57801400,5908810000
"Dec 07, 2015",389.98,399.97,385.41,395.54,63455800,5821140000
"Dec 06, 2015",389.56,402.81,387.09,388.78,77762000,5813290000
"Dec 05, 2015",363.72,389.79,363.23,388.95,66282200,5426180000
"Dec 04, 2015",361.26,363.52,355.76,363.18,35784100,5388110000
"Dec 03, 2015",359.33,370.27,357.41,361.05,50714900,5358040000
